name,location,price,area,bhk,price_cr,area_sqft,bhk_count,price_per_sqft
Duplex of Basement & Ground,"5 BHK Builder Floor in Greater Kailash 2, Delhi",₹27 Cr,"5,000 sqft",5 BHK,27.0,5000.0,5.0,54000.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹16 Cr,"3,375 sqft",4 BHK,16.0,3375.0,4.0,47407.0
Godrej South Estate 4.0,"2 BHK Flat in Okhla, Delhi",₹5.1 Cr,"1,442 sqft",2 BHK,5.1,1442.0,2.0,35368.0
GREATER KAILASH,"2 BHK Builder Floor in Greater Kailash 2, Delhi",₹7 Cr,"2,300 sqft",2 BHK,7.0,2300.0,2.0,30435.0
"Govind Puri, Delhi, South Delhi","2 BHK Builder Floor in Govind Puri, Delhi",₹37 Lac,579 sqft,2 BHK,0.37,579.0,2.0,6390.0
Greater Kailash 1 Builder Floors,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹14 Cr,"4,500 sqft",4 BHK,14.0,4500.0,4.0,31111.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.25 Cr,"1,890 sqft",3 BHK,6.25,1890.0,3.0,33069.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.5 Cr,"2,700 sqft",4 BHK,8.5,2700.0,4.0,31481.0
DDA Flats Sector B Pocket 8,"4 BHK Flat in Vasant Kunj, Delhi",₹5.2 Cr,"2,200 sqft",4 BHK,5.2,2200.0,4.0,23636.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Duplex Builder Floor in Greater Kailash 1, Delhi",₹7 Cr,"1,500 sqft",3 BHK,7.0,1500.0,3.0,46667.0
Pashmi marg,"3 BHK Builder Floor in Vasant Vihar, Delhi",₹10.5 Cr,"9,360 sqft",3 BHK,10.5,9360.0,3.0,11218.0
the pearl apartment,"3 BHK Flat in Chattarpur, Delhi",₹75 Lac,"1,080 sqft",3 BHK,0.75,1080.0,3.0,6944.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Triplex Builder Floor in Greater Kailash 1, Delhi",₹18 Cr,"2,700 sqft",4 BHK,18.0,2700.0,4.0,66667.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹35 Cr,"10,800 sqft",4 BHK,35.0,10800.0,4.0,32407.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹30 Cr,"7,200 sqft",4 BHK,30.0,7200.0,4.0,41667.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹35 Cr,"7,200 sqft",4 BHK,35.0,7200.0,4.0,48611.0
Safdarjung Enclave RWA,"3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹6 Cr,"1,800 sqft",3 BHK,6.0,1800.0,3.0,33333.0
